arm,seed,result_path,status,optimizer_steps,training_tokens,ce/arxiv,bpb/arxiv,ce/freelaw,bpb/freelaw,ce/pubmed_central,bpb/pubmed_central,ce/wikipedia_en,bpb/wikipedia_en,ce/dm_mathematics,bpb/dm_mathematics,ce/github,bpb/github,ce/stackexchange,bpb/stackexchange,ce/gutenberg_pg_19,bpb/gutenberg_pg_19,ce/pile_cc,bpb/pile_cc,ce/ubuntu_irc,bpb/ubuntu_irc,ce/hackernews,bpb/hackernews,ce/pubmed_abstracts,bpb/pubmed_abstracts,ce/uspto_backgrounds,bpb/uspto_backgrounds,aggregate_standardized_loss
full_nonparametric,3406,/work1/ruixiangtang/rw761/data_mix_artifacts/TWODIAL/R2/full_nonparametric_seed3406/result.json,complete,954,1000341504,4.829851150512695,6.968002303076521,5.282139301300049,7.620516175270275,5.283329486846924,7.622233250056489,6.051729679107666,8.730800396849189,2.3415846824645996,3.378192609213236,5.873378753662109,8.473494401170926,5.051684379577637,7.288040002552896,5.443726539611816,7.853637282653605,5.533802509307861,7.983589437437353,5.889647006988525,8.496964529568872,5.453784465789795,7.868147802872202,6.01729154586792,8.681116672806732,5.043193817138672,7.275790710227844,-0.25131807516231286
full_nonparametric,3407,/work1/ruixiangtang/rw761/data_mix_artifacts/TWODIAL/R2/full_nonparametric_seed3407/result.json,complete,954,1000341504,4.88539457321167,7.04813452355833,5.324612140655518,7.681791529980883,5.438227653503418,7.845704066934605,6.025566101074219,8.693054332568423,2.352957010269165,3.394599410140246,5.84015417098999,8.425561460514254,5.077383518218994,7.325116022425901,5.579141616821289,8.048999943005308,5.510241985321045,7.949598786320828,5.689223289489746,8.207814226256852,5.450874328613281,7.863949362399339,6.007506370544434,8.66699964889331,5.051028728485107,7.287094097973151,-0.24360648017199316
full_nonparametric,3408,/work1/ruixiangtang/rw761/data_mix_artifacts/TWODIAL/R2/full_nonparametric_seed3408/result.json,complete,954,1000341504,4.883161544799805,7.044912944542368,5.292403221130371,7.635323881509563,5.421018600463867,7.82087665145605,6.022748947143555,8.688990038563233,2.3543431758880615,3.396599224404479,5.846658706665039,8.434945521875933,5.060915470123291,7.301357651105109,5.609586238861084,8.092922248243859,5.472082614898682,7.894546451849039,5.775097370147705,8.33170433656299,5.465889930725098,7.885612297102019,6.018594741821289,8.682996787145965,5.078319072723389,7.326465742269872,-0.25400614206613
h_probe,3406,/work1/ruixiangtang/rw761/data_mix_artifacts/TWODIAL/R2/h_probe_seed3406/result.json,complete,954,1000341504,4.9698357582092285,7.169957402401096,5.770491600036621,8.325059614864253,6.248812675476074,9.015131058353427,6.047060489654541,8.724064180380193,5.683632850646973,8.19974892786199,5.255246639251709,7.581718265096832,5.528071403503418,7.9753211995144735,5.053877353668213,7.291203795398169,5.526596546173096,7.973193430157998,5.879419803619385,8.48220979398605,5.0435004234313965,7.276233049605863,6.016769886016846,8.680364076726557,5.749989032745361,8.29548066270766,0.13529405491438576
h_probe,3407,/work1/ruixiangtang/rw761/data_mix_artifacts/TWODIAL/R2/h_probe_seed3407/result.json,complete,954,1000341504,5.0162272453308105,7.236886170810866,5.763556957244873,8.315055040098262,6.236557483673096,8.997450553914128,6.007861614227295,8.667512157192881,5.8231987953186035,8.401100024116735,5.248051166534424,7.5713373922907525,5.538202285766602,7.989936973115398,5.1981730461120605,7.499378475308547,5.496339797973633,7.929542169577207,5.684447288513184,8.200923913332685,5.028712272644043,7.25489825780103,5.996129035949707,8.650585624694964,5.738762855529785,8.279284712510607,0.07553928370121618
h_probe,3408,/work1/ruixiangtang/rw761/data_mix_artifacts/TWODIAL/R2/h_probe_seed3408/result.json,complete,954,1000341504,5.0055365562438965,7.22146276668149,5.764651775360107,8.316634528763785,6.245833396911621,9.010832867943066,6.002810955047607,8.660225596241126,5.799155235290527,8.366412499298914,5.185111999511719,7.480535368149414,5.502469539642334,7.938385517484573,5.201435565948486,7.50408529649736,5.452060222625732,7.865660245810123,5.647969722747803,8.148297910099268,5.037973403930664,7.26825924598126,6.00758695602417,8.667115909165293,5.783699989318848,8.344115292579852,0.028139612495348867
official_regmix,3406,/work1/ruixiangtang/rw761/data_mix_artifacts/TWODIAL/R2/official_regmix_seed3406/result.json,complete,954,1000341504,6.2280097007751465,8.98511870991666,5.641252517700195,8.138607031688451,5.785581588745117,8.346829866741071,5.754771709442139,8.302380606660277,5.090692043304443,7.344316165568225,6.791332721710205,9.79782203863826,6.180496692657471,8.916571928727572,5.332796096801758,7.693598482927917,5.45872163772583,7.875270636340336,5.921151161193848,8.542415416608291,5.145569801330566,7.423488034927617,5.814565181732178,8.388644352610648,5.62199068069458,8.110818074962038,0.20697983683111215
official_regmix,3407,/work1/ruixiangtang/rw761/data_mix_artifacts/TWODIAL/R2/official_regmix_seed3407/result.json,complete,954,1000341504,6.314894676208496,9.110467233102113,5.649440288543701,8.150419488080312,5.854143142700195,8.445743280627703,5.709265232086182,8.236728637450511,5.16090726852417,7.445615322787626,6.712508201599121,9.684102294373547,6.185194969177246,8.923350108963378,5.477555274963379,7.9024418313848495,5.434565544128418,7.8404207599001,5.741750240325928,8.28359459774123,5.140775203704834,7.416570892709915,5.7888641357421875,8.35156558101523,5.6113810539245605,8.095511619035248,0.1673618600892695
official_regmix,3408,/work1/ruixiangtang/rw761/data_mix_artifacts/TWODIAL/R2/official_regmix_seed3408/result.json,complete,954,1000341504,6.170468807220459,8.902104748136994,5.646064758300781,8.14554962733848,5.847248554229736,8.435796492032402,5.703258514404297,8.228062775638836,5.313194274902344,7.665319031681244,6.70446252822876,9.672494841301514,6.1364970207214355,8.853093820224714,5.494626998901367,7.92707112284961,5.388784885406494,7.77437323059335,5.847659587860107,8.436389488212576,5.154271125793457,7.436041392579395,5.8018341064453125,8.370277293429103,5.636078834533691,8.131142984641006,0.14184636823935984
rank_selected,3406,/work1/ruixiangtang/rw761/data_mix_artifacts/TWODIAL/R2/rank_selected_seed3406/result.json,complete,954,1000341504,6.366117000579834,9.184365426455448,5.054733753204346,7.292439318761967,5.238699913024902,7.557846385226471,5.487649917602539,7.917005322259912,2.799813747406006,4.03927740879539,6.480656147003174,9.349610484988057,5.866379737854004,8.463396955773469,4.810685634613037,6.940352308332005,5.609249114990234,8.092435881307217,6.426694393157959,9.271760130317894,5.225892066955566,7.53936856921777,6.05689001083374,8.738245181839737,5.367798328399658,7.744096028874255,-0.0710976634121837
